                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.27037,                0.45161,                      1,                 1.0412,               0.070203,              0.0033108,              0.0033108
                      1,                0.24769,                0.49194,                      1,                0.99837,                0.04019,               0.006631,               0.006631
                      2,                 0.2262,                 0.5121,                      1,                0.98042,               0.010163,               0.009938,               0.009938
                      3,                0.19277,                0.54032,                      1,                0.96134,              0.0099406,              0.0099406,              0.0099406
                      4,                0.15391,                0.54435,                      1,                0.95706,              0.0099406,              0.0099406,              0.0099406
                      5,                0.09128,                0.50806,                      1,                0.97153,              0.0099208,              0.0099208,              0.0099208
                      6,                0.07525,                0.52419,                      1,                0.96837,               0.009901,               0.009901,               0.009901
                      7,                 0.0479,                0.52016,                      1,                0.97347,              0.0098812,              0.0098812,              0.0098812
                      8,                0.05119,                0.50403,                      1,                0.98775,              0.0098614,              0.0098614,              0.0098614
                      9,                0.03128,                0.50403,                      1,                0.99653,              0.0098416,              0.0098416,              0.0098416
                     10,                0.02014,                 0.4879,                      1,                0.97921,              0.0098218,              0.0098218,              0.0098218
                     11,                0.02179,                    0.5,                      1,                0.98068,               0.009802,               0.009802,               0.009802
                     12,                0.01806,                0.43548,                      1,                 1.0271,              0.0097822,              0.0097822,              0.0097822
                     13,                0.01412,                0.48387,                      1,                 1.0112,              0.0097624,              0.0097624,              0.0097624
                     14,                0.01346,                0.45968,                      1,                 1.0295,              0.0097426,              0.0097426,              0.0097426
                     15,                0.01999,                0.46774,                      1,                 1.0321,              0.0097228,              0.0097228,              0.0097228
                     16,                0.01965,                0.47581,                      1,                 1.0134,               0.009703,               0.009703,               0.009703
                     17,                0.01739,                    0.5,                      1,                0.99284,              0.0096832,              0.0096832,              0.0096832
                     18,                0.01546,                0.49597,                      1,                 1.0102,              0.0096634,              0.0096634,              0.0096634
                     19,                0.00723,                0.49194,                      1,                0.98983,              0.0096436,              0.0096436,              0.0096436
                     20,                0.00591,                0.51613,                      1,                0.98118,              0.0096238,              0.0096238,              0.0096238
                     21,                0.00834,                    0.5,                      1,                0.98649,               0.009604,               0.009604,               0.009604
                     22,                0.01117,                0.54839,                      1,                 0.9547,              0.0095842,              0.0095842,              0.0095842
                     23,                0.00919,                0.56452,                      1,                  0.954,              0.0095644,              0.0095644,              0.0095644
                     24,                0.00885,                0.51613,                      1,                 0.9864,              0.0095446,              0.0095446,              0.0095446
                     25,                0.00546,                 0.4879,                      1,                 1.0008,              0.0095248,              0.0095248,              0.0095248
                     26,                0.00263,                0.51613,                      1,                0.98764,               0.009505,               0.009505,               0.009505
                     27,                0.00247,                0.52823,                      1,                0.97627,              0.0094852,              0.0094852,              0.0094852
                     28,                0.00297,                0.54435,                      1,                0.97296,              0.0094654,              0.0094654,              0.0094654
                     29,                0.00501,                0.52016,                      1,                0.97756,              0.0094456,              0.0094456,              0.0094456
                     30,                0.00507,                0.49597,                      1,                0.99105,              0.0094258,              0.0094258,              0.0094258
                     31,                0.00364,                0.47984,                      1,                 1.0079,               0.009406,               0.009406,               0.009406
                     32,                0.00403,                0.52823,                      1,                0.97614,              0.0093862,              0.0093862,              0.0093862
                     33,                0.00921,                0.49597,                      1,                 1.0111,              0.0093664,              0.0093664,              0.0093664
                     34,                0.01206,                0.49194,                      1,                0.98765,              0.0093466,              0.0093466,              0.0093466
                     35,                0.00659,                0.51613,                      1,                0.98851,              0.0093268,              0.0093268,              0.0093268
                     36,                0.00606,                0.50806,                      1,                0.98288,               0.009307,               0.009307,               0.009307
                     37,                0.00658,                 0.5121,                      1,                  0.994,              0.0092872,              0.0092872,              0.0092872
                     38,                0.00776,                0.50806,                      1,                0.98655,              0.0092674,              0.0092674,              0.0092674
